user_id,movie_id,title,predicted_rating
1333,270,Sex and the City: Season 4,3.93
1333,13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,3.78
1333,85,Elfen Lied,3.76
1333,359,Absolutely Fabulous: Series 5,3.76
1333,316,Futurama: Monster Robot Maniac Fun Collection,3.76
1333,338,The Three Stooges: Three Smart Saps,3.75
1333,106,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,3.75
1333,32,ABC Primetime: Mel Gibson's The Passion of the Christ,3.71
1333,133,Viva La Bam: Season 1,3.7
1333,167,The Chorus,3.64
3321,46,Rudolph the Red-Nosed Reindeer,3.34
3321,13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,3.34
3321,270,Sex and the City: Season 4,3.34
3321,333,Mail Call: The Best of Season 2,3.28
3321,361,The Phantom of the Opera: Special Edition,3.25
3321,135,GTO: Great Teacher Onizuka: Set 2,3.24
3321,345,Star Trek: Voyager: Season 5,3.19
3321,85,Elfen Lied,3.16
3321,251,Midsomer Murders: Strangler's Wood,3.15
3321,350,Movie 350,3.14
10679,215,That '70s Show: Season 1,4.55
10679,13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.51
10679,316,Futurama: Monster Robot Maniac Fun Collection,4.35
10679,68,Invader Zim,4.32
10679,263,Dragon Ball: Tournament Saga,4.25
10679,304,King of the Hill: Season 1,4.24
10679,167,The Chorus,4.23
10679,270,Sex and the City: Season 4,4.21
10679,333,Mail Call: The Best of Season 2,4.2
10679,135,GTO: Great Teacher Onizuka: Set 2,4.19
11043,133,Viva La Bam: Season 1,5.0
11043,359,Absolutely Fabulous: Series 5,5.0
11043,13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.94
11043,345,Star Trek: Voyager: Season 5,4.86
11043,135,GTO: Great Teacher Onizuka: Set 2,4.81
11043,209,Star Trek: Deep Space Nine: Season 5,4.79
11043,206,Unconstitutional: The War on Our Civil Liberties,4.74
11043,242,Neon Genesis Evangelion: The End of Evangelion,4.74
11043,32,ABC Primetime: Mel Gibson's The Passion of the Christ,4.74
11043,85,Elfen Lied,4.71
12812,13,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.45
12812,359,Absolutely Fabulous: Series 5,4.35
12812,68,Invader Zim,4.2
12812,241,North by Northwest,4.19
12812,106,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,4.19
12812,350,Movie 350,4.16
12812,113,Bruce Lee: A Warrior's Journey,4.16
12812,85,Elfen Lied,4.15
12812,32,ABC Primetime: Mel Gibson's The Passion of the Christ,4.15
12812,345,Star Trek: Voyager: Season 5,4.13
